"Time (s)","Pressure (hPa)"
8.589928200E-2,9.770679321E2
1.358992820E-1,9.770701294E2
1.858992820E-1,9.770701294E2
2.358992820E-1,9.770742188E2
2.858992820E-1,9.770742188E2
3.358992820E-1,9.770797119E2
3.858992820E-1,9.770797119E2
4.358992820E-1,9.770857544E2
4.858992820E-1,9.770857544E2
5.358992820E-1,9.770924072E2
5.858992820E-1,9.770924072E2
6.358992820E-1,9.770993042E2
6.858992820E-1,9.770993042E2
7.358992820E-1,9.771065674E2
7.858992820E-1,9.771065674E2
8.358992820E-1,9.771138916E2
8.858992820E-1,9.771138916E2
9.358992820E-1,9.771213989E2
9.858992820E-1,9.771213989E2
1.035899282E0,9.771289673E2
1.085899282E0,9.771289673E2
1.135899282E0,9.771364746E2
1.185899282E0,9.771364746E2
1.235899282E0,9.771441040E2
1.285899282E0,9.771441040E2
1.335899282E0,9.771515503E2
1.385899282E0,9.771515503E2
1.435899282E0,9.771589355E2
1.485899282E0,9.771589355E2
1.535899282E0,9.771659546E2
1.585899282E0,9.771659546E2
1.635899282E0,9.771730347E2
1.685899282E0,9.771730347E2
1.735899282E0,9.771801758E2
1.785899282E0,9.771801758E2
1.835899282E0,9.771873169E2
1.885899282E0,9.771873169E2
1.935899282E0,9.771941528E2
1.985899282E0,9.771941528E2
2.035899282E0,9.772008667E2
2.085899282E0,9.772008667E2
2.135899282E0,9.772073975E2
2.185899282E0,9.772073975E2
2.235899282E0,9.772137451E2
2.285899282E0,9.772137451E2
2.335899282E0,9.772197876E2
2.385899282E0,9.772197876E2
2.435899282E0,9.772260132E2
2.485899282E0,9.772260132E2
2.535899282E0,9.772319946E2
2.585899282E0,9.772319946E2
2.635899282E0,9.772378540E2
2.685899282E0,9.772378540E2
2.735899282E0,9.772437134E2
2.785899282E0,9.772437134E2
2.835899282E0,9.772495728E2
2.885899282E0,9.772495728E2
2.935899282E0,9.772552490E2
2.985899282E0,9.772552490E2
3.035899282E0,9.772609253E2
3.085899282E0,9.772664795E2
3.135899282E0,9.772718506E2
3.185899282E0,9.772773438E2
3.235899282E0,9.772828979E2
3.285899282E0,9.772882690E2
3.335899282E0,9.772934570E2
3.385899282E0,9.772990112E2
3.435899282E0,9.773046875E2
3.485899282E0,9.773094482E2
3.535899282E0,9.773109131E2
3.585899282E0,9.773148804E2
3.635899282E0,9.773200073E2
3.685899282E0,9.773236694E2
3.735899282E0,9.773256836E2
3.785899282E0,9.773289185E2
3.835899282E0,9.773320923E2
3.885899282E0,9.773341064E2
3.935899282E0,9.773352661E2
3.985899282E0,9.773368530E2
4.035899282E0,9.773388062E2
4.085899282E0,9.773414307E2
4.135899282E0,9.773445435E2
4.185899282E0,9.773471069E2
4.235899282E0,9.773496094E2
4.285899282E0,9.773519897E2
4.335899282E0,9.773540649E2
4.385899282E0,9.773563232E2
4.435899282E0,9.773586426E2
4.485899282E0,9.773607178E2
4.535899282E0,9.773627319E2
4.585899282E0,9.773646851E2
4.635899282E0,9.773665771E2
4.685899282E0,9.773683472E2
4.735899282E0,9.773700562E2
4.785899282E0,9.773721924E2
4.835899282E0,9.773740234E2
4.885899282E0,9.773758545E2
4.935899282E0,9.773776855E2
4.985899282E0,9.773796387E2
5.035899282E0,9.773815308E2
5.085899282E0,9.773832397E2
5.135899282E0,9.773847656E2
5.185899282E0,9.773862305E2
5.235899282E0,9.773877563E2
5.285899282E0,9.773895874E2
5.335899282E0,9.773912354E2
5.385899282E0,9.773931885E2
5.435899282E0,9.773947754E2
5.485899282E0,9.773962402E2
