"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.137906700E-2,-2.603627205E0,2.844845504E-2,9.494234085E0
1.013790670E-1,-2.602278471E0,1.951448619E-2,9.449968338E0
1.513790670E-1,-2.573646784E0,-1.735442318E-2,9.481821060E0
2.013790670E-1,-2.577070475E0,-3.666186333E-2,9.502677917E0
2.513790670E-1,-2.589804173E0,-9.673924185E-3,9.489854813E0
3.457129750E-1,-2.551905155E0,-1.501853019E-2,9.494185448E0
3.957129750E-1,-2.571074486E0,1.814064942E-2,9.483642578E0
4.457129750E-1,-2.601210594E0,1.656908542E-2,9.468650818E0
4.957129750E-1,-2.593771935E0,-1.016806439E-2,9.482980728E0
5.457129750E-1,-2.551408768E0,-1.693509892E-2,9.480167389E0
5.957129750E-1,-2.561244726E0,-5.853635259E-3,9.496446609E0
6.457129750E-1,-2.577796936E0,1.991075464E-3,9.480832100E0
6.957129750E-1,-2.596020937E0,1.399740018E-2,9.478406906E0
7.457129750E-1,-2.585567474E0,7.557100616E-4,9.480064392E0
7.957129750E-1,-2.558969736E0,-2.084821835E-2,9.492126465E0
8.457129750E-1,-2.565814734E0,-1.083712652E-2,9.486961365E0
8.957129750E-1,-2.584227562E0,1.311114803E-2,9.484054565E0
9.457129750E-1,-2.574275970E0,-4.813306499E-3,9.486381531E0
9.957129750E-1,-2.579281807E0,-1.014643162E-2,9.481446266E0
1.045712975E0,-2.579772472E0,-9.370218962E-3,9.494286537E0
1.095712975E0,-2.571501970E0,5.094096996E-4,9.486194611E0
1.145712975E0,-2.582340717E0,1.108912379E-2,9.484195709E0
1.195712975E0,-2.578023911E0,-1.966686687E-3,9.493598938E0
1.245712975E0,-2.570244074E0,-1.387008838E-2,9.487709999E0
1.295712975E0,-2.577421665E0,-8.197562769E-3,9.493997574E0
1.345712975E0,-2.581007957E0,8.122775704E-3,9.484174728E0
1.395712975E0,-2.575818062E0,4.332054872E-3,9.491519928E0
1.445712975E0,-2.571074486E0,-3.932439256E-3,9.490554810E0
1.495712975E0,-2.576622009E0,-1.056021638E-2,9.492254257E0
1.545712975E0,-2.576173782E0,-7.720281370E-3,9.497210503E0
1.595712975E0,-2.579766750E0,5.696214270E-3,9.495382309E0
1.645712975E0,-2.575407982E0,3.579041455E-3,9.499385834E0
1.695712975E0,-2.571440458E0,-4.861048423E-3,9.485403061E0
1.745712975E0,-2.573153019E0,-2.735750517E-3,9.494048119E0
1.795712975E0,-2.579841137E0,-2.067111433E-3,9.497286797E0
1.845712975E0,-2.573460817E0,1.514220051E-2,9.489343643E0
1.895712975E0,-2.582481861E0,-6.493549328E-3,9.481443405E0
1.945712975E0,-2.557052612E0,1.764746755E-2,9.497452736E0
1.995712975E0,-2.581167698E0,-1.230650488E-2,9.497104645E0
2.045712975E0,-2.580309391E0,-7.170770783E-3,9.494945526E0
2.095712975E0,-2.578392029E0,2.252994571E-3,9.492742538E0
2.145712975E0,-2.572404385E0,3.350581042E-3,9.500492096E0
2.195712975E0,-2.572737694E0,-6.531790365E-3,9.498407364E0
2.245712975E0,-2.575408459E0,-2.967677545E-3,9.492069244E0
2.295712975E0,-2.581452131E0,-1.652354840E-3,9.496123314E0
2.345712975E0,-2.593891382E0,8.828941733E-3,9.483486176E0
2.395712975E0,-2.575457573E0,-9.607104585E-4,9.471406937E0
2.445712975E0,-2.551163197E0,-1.169475354E-2,9.547233582E0
2.495712975E0,-2.635154247E0,5.802419968E-3,9.476303101E0
2.545712975E0,-2.614296913E0,-6.794826686E-2,9.474157333E0
2.595712975E0,-2.554680347E0,-8.927663788E-3,9.525283813E0
2.645712975E0,-2.519462824E0,8.240807056E-2,9.491860390E0
2.695712975E0,-2.504323959E0,-5.397678167E-2,9.555511475E0
2.745712975E0,-2.651504517E0,-4.509202391E-2,9.436739922E0
2.795712975E0,-2.665518522E0,-1.615738310E-2,9.447902679E0
2.845712975E0,-2.608429432E0,6.490866095E-2,9.492406845E0
2.895712975E0,-2.501065254E0,4.679273814E-3,9.517870903E0
2.945712975E0,-2.491942406E0,-4.327246547E-2,9.502869606E0
2.995712975E0,-2.597415447E0,3.821327351E-3,9.500663757E0
3.045712975E0,-2.605476379E0,1.213133708E-2,9.477384567E0
3.095712975E0,-4.601691246E0,-4.801642895E-2,9.895194054E0
3.145712975E0,-4.911293507E0,2.015452087E-1,1.009266853E1
3.195712975E0,-1.271785617E0,1.068391874E-1,9.437255859E0
3.245712975E0,7.900494337E-1,-1.130775094E0,8.978832245E0
3.295712975E0,2.425023079E0,-1.764129251E-1,8.267305374E0
3.345712975E0,4.193089008E0,4.447066188E-1,9.439023972E0
3.395712975E0,2.695059538E0,-2.476941049E-1,9.652625084E0
3.445712975E0,2.805553079E-1,-4.282034636E-1,9.737017632E0
3.495712975E0,-1.731836081E0,3.743422925E-1,1.070192146E1
3.545712975E0,-6.328883171E-1,-4.304853380E-1,1.061377907E1
3.595712975E0,5.876703858E-1,-5.763599277E-1,8.661175728E0
3.645712975E0,8.353275657E-1,9.224720299E-2,1.013692856E1
3.695712975E0,1.451347351E0,-1.457167566E-1,9.394357681E0
3.745712975E0,3.815875530E0,-3.220842481E-1,9.750513077E0
3.795712975E0,3.727027416E0,-1.611018419E0,1.132743073E1
3.845712975E0,3.100047588E0,-1.268432736E0,1.037998486E1
3.895712975E0,4.061671257E0,-1.454822540E0,9.515972137E0
3.945712975E0,3.068010330E0,-9.552708864E-1,8.621112823E0
3.995712975E0,3.712671757E0,-1.479777813E0,8.851719856E0
4.045712975E0,2.364256382E0,-1.259900093E0,8.991985321E0
4.095712975E0,1.763790846E0,-1.130454779E0,9.713834763E0
4.145712975E0,1.639807343E0,1.236983016E-1,9.460170746E0
4.195712975E0,3.142391205E0,5.150550604E-1,9.071748734E0
4.245712975E0,4.461588860E0,-3.988929391E-1,8.593427658E0
4.295712975E0,3.979178667E0,-7.590748668E-1,8.268054962E0
4.345712975E0,4.165497780E0,-7.886403799E-1,8.246503830E0
4.395712975E0,4.380357742E0,-8.741531372E-1,8.699412346E0
4.445712975E0,4.955438614E0,-2.147460878E-1,8.066517830E0
4.495712975E0,4.872591972E0,-4.146441519E-1,7.643069744E0
4.545712975E0,5.323628426E0,-6.358073354E-1,7.469452858E0
4.595712975E0,5.341056824E0,5.156497657E-2,6.905502319E0
4.645712975E0,4.488614082E0,-9.222344160E-1,1.022073841E1
4.695712975E0,4.847610950E0,1.306219220E0,6.978216171E0
4.745712975E0,5.857181072E0,1.958933830E0,6.929721832E0
4.795712975E0,6.083189011E0,2.567773342E0,7.254486084E0
4.845712975E0,5.940933228E0,2.462469578E0,7.137002945E0
4.895712975E0,5.697393417E0,1.186224461E0,7.392024994E0
4.945712975E0,6.129728794E0,6.091801524E-1,7.662306786E0
4.995712975E0,5.639539719E0,7.323136330E-1,7.640943527E0
5.045712975E0,5.458559036E0,2.175769955E-1,7.591768265E0
5.095712975E0,6.946903229E0,-6.651475430E-1,8.483937263E0
5.145712975E0,7.394616127E0,-1.115396500E0,9.062770844E0
5.195712975E0,7.380293846E0,-1.128378510E0,8.771833420E0
5.245712975E0,7.184186459E0,-9.465389252E-1,8.049047470E0
5.295712975E0,8.510013580E0,-9.834080935E-1,7.328368187E0
5.345712975E0,7.234662533E0,-4.616221189E-1,6.655494690E0
5.395712975E0,6.645017624E0,-5.459921956E-1,6.313452244E0
5.445712975E0,6.333502769E0,-8.308838606E-1,6.394824028E0
5.495712975E0,6.194594383E0,-7.638455629E-1,6.287094116E0
5.545712975E0,6.628894806E0,-4.738203287E-1,5.939589500E0
5.595712975E0,7.562627316E0,-7.051976323E-1,6.241189003E0
5.645712975E0,7.835093498E0,-8.460958600E-1,6.648688316E0
