"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.396003660E-1,-2.729734406E-4,-3.355592489E-4,2.198755974E-4
1.896003660E-1,1.233052462E-4,-1.129098004E-3,1.517549972E-3
2.396003660E-1,2.596583217E-4,-1.486065332E-3,2.063947031E-4
2.896003660E-1,3.945343196E-4,-1.138782129E-3,-3.262370592E-4
3.396003660E-1,2.596583217E-4,-9.787110612E-4,2.063947031E-4
3.896003660E-1,-2.729734406E-4,-4.460792989E-4,4.321545130E-4
4.396003660E-1,-2.729734406E-4,-4.460792989E-4,-2.795307664E-4
4.896003660E-1,-2.729734406E-4,-4.460792989E-4,7.390264655E-4
5.396003660E-1,-2.145385370E-4,-9.787110612E-4,1.668003621E-3
5.896003660E-1,6.504403427E-5,-1.180630876E-3,-3.189315321E-4
6.396003660E-1,-2.729734406E-4,-4.460792989E-4,-1.321518444E-3
6.896003660E-1,-2.729734406E-4,-4.460792989E-4,7.538901409E-4
7.396003660E-1,-2.729734406E-4,-4.460792989E-4,1.723186113E-3
7.896003660E-1,4.777931608E-4,-4.460792989E-4,-3.666082630E-4
8.396003660E-1,3.543172497E-4,-9.787110612E-4,-2.729420085E-4
8.896003660E-1,2.924283035E-5,-7.482955698E-4,7.390264655E-4
9.396003660E-1,6.560892798E-4,-1.375141786E-3,1.135457074E-3
9.896003660E-1,-2.729734406E-4,-8.232542314E-4,5.093798973E-5
1.039600366E0,-2.729734406E-4,-1.394826686E-3,2.258458408E-4
1.089600366E0,-2.729734406E-4,-4.460792989E-4,3.497449798E-4
1.139600366E0,-2.729734406E-4,-4.460792989E-4,-3.262370592E-4
1.189600366E0,-2.729734406E-4,-8.429582231E-4,7.064186502E-5
1.239600366E0,-2.729734406E-4,-1.511342824E-3,1.267854474E-3
1.289600366E0,-2.729734406E-4,-1.511342824E-3,7.390264655E-4
1.339600366E0,-2.729734406E-4,-4.460792989E-4,1.900602365E-4
1.389600366E0,-2.729734406E-4,-4.460792989E-4,-3.262370592E-4
1.439600366E0,6.287945434E-4,-4.460792989E-4,2.339208731E-4
1.489600366E0,-2.729734406E-4,-8.425631095E-4,1.174716395E-3
1.539600366E0,-2.729734406E-4,-1.336127520E-3,5.638111616E-4
1.589600366E0,1.236686949E-4,-4.460792989E-4,-7.734441897E-4
1.639600366E0,1.237541437E-4,-4.460792989E-4,2.569140634E-4
1.689600366E0,-6.691776216E-4,-4.460792989E-4,2.801960218E-4
1.739600366E0,-2.729734406E-4,-4.977500066E-5,-1.391500584E-3
1.789600366E0,-2.729734406E-4,-4.460792989E-4,-9.202311048E-4
1.839600366E0,-2.729734406E-4,-6.564548239E-4,5.286509404E-4
1.889600366E0,2.089855261E-4,-6.325247232E-4,-3.262370592E-4
1.939600366E0,3.452911042E-4,-1.064343727E-3,-3.262370592E-4
1.989600366E0,-9.871856309E-5,-6.203341763E-4,5.647716462E-4
2.039600366E0,-2.729734406E-4,-4.460792989E-4,-3.262370592E-4
2.089600366E0,-2.729734406E-4,-4.460792989E-4,5.768414703E-4
2.139600366E0,-2.729734406E-4,-1.511342824E-3,1.380771399E-3
2.189600366E0,1.222642604E-4,-1.906580525E-3,1.285274164E-3
2.239600366E0,-1.324177720E-5,-8.422555402E-4,-7.355926791E-4
2.289600366E0,-1.359628513E-4,-4.460792989E-4,7.357618888E-4
2.339600366E0,-2.729734406E-4,-1.511342824E-3,3.397360910E-3
2.389600366E0,6.642783992E-4,-1.503349631E-3,-1.676101587E-3
2.439600366E0,5.117154215E-4,-1.655044034E-4,-3.349171020E-3
2.489600366E0,-2.729734406E-4,-3.301668912E-4,2.541921102E-3
2.539600366E0,-2.729734406E-4,-1.134735299E-3,3.039308824E-3
2.589600366E0,2.596583217E-4,-5.510947667E-4,-4.167229403E-3
2.639600366E0,9.228941053E-5,-4.460792989E-4,-2.641654573E-3
2.689600366E0,-2.729734406E-4,-4.460792989E-4,5.210961681E-3
2.739600366E0,4.238868132E-5,-7.614414208E-4,2.667880151E-3
2.789600366E0,7.922903169E-4,-1.004800899E-3,-4.287936725E-3
2.839600366E0,6.784754805E-5,-1.170521951E-3,3.211863805E-5
2.889600366E0,-2.729734406E-4,-5.143715534E-4,3.131144680E-3
2.939600366E0,6.576813757E-5,-4.460792989E-4,-2.475392073E-3
2.989600366E0,7.922903169E-4,-4.985695705E-5,-1.352503779E-3
3.039600366E0,4.449789412E-5,-1.115600113E-3,2.552082296E-3
3.089600366E0,-1.810141839E-4,-9.308371227E-4,5.991931539E-4
3.139600366E0,4.291576333E-4,-4.460792989E-4,-2.456764225E-3
3.189600366E0,2.255197614E-4,-4.460792989E-4,-2.589097712E-4
3.239600366E0,-2.729734406E-4,-4.460792989E-4,1.429001219E-3
3.289600366E0,-2.729734406E-4,-4.460792989E-4,-3.052701941E-4
3.339600366E0,-2.729734406E-4,-8.324685041E-4,6.015214603E-5
3.389600366E0,-1.482767984E-4,-1.511342824E-3,6.143299979E-4
3.439600366E0,7.922903169E-4,-7.180703105E-4,4.670354538E-4
3.489600366E0,2.612196840E-4,-9.802721906E-4,7.390264655E-4
3.539600366E0,-1.440057531E-5,-7.046520477E-4,3.291191533E-4
3.589600366E0,6.438593846E-4,-9.657747578E-4,-1.778061269E-4
3.639600366E0,5.439328961E-4,-1.262985519E-3,-5.319691263E-5
3.689600366E0,-2.729734406E-4,-8.424918633E-4,-3.262370592E-4
3.739600366E0,1.236870885E-4,-4.460792989E-4,5.032745539E-4
3.789600366E0,-2.729734406E-4,-4.460792989E-4,7.390264655E-4
3.839600366E0,-2.729734406E-4,-4.460792989E-4,2.948088804E-4
3.889600366E0,7.922903169E-4,-1.511342824E-3,-3.262370592E-4
