"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.883724100E-2,-1.295635796E1,3.472659302E1,7.570419312E0
1.288372410E-1,-1.286440849E1,3.675200653E1,7.966995239E0
1.788372410E-1,-1.358670425E1,3.781165314E1,7.947929382E0
2.288372410E-1,-1.368508911E1,3.921785736E1,7.371223450E0
2.788372410E-1,-1.326789284E1,3.830620575E1,6.966262817E0
3.288372410E-1,-1.267504883E1,3.803323364E1,5.996131897E0
3.788372410E-1,-1.358670425E1,3.781165314E1,7.947929382E0
4.288372410E-1,-1.287108421E1,3.676085663E1,7.267692566E0
4.788372410E-1,-1.391058350E1,3.781936646E1,6.266937256E0
5.288372410E-1,-1.348771858E1,4.048845673E1,6.239517212E0
5.788372410E-1,-1.418070602E1,3.841651917E1,7.376068115E0
6.288372410E-1,-1.325187302E1,3.828496552E1,8.644584656E0
6.788372410E-1,-1.261425400E1,3.927406311E1,6.681266785E0
7.288372410E-1,-1.362052917E1,3.703060150E1,7.956779480E0
7.788372410E-1,-1.209208870E1,3.678228760E1,8.253379822E0
8.288372410E-1,-1.344754791E1,3.767282867E1,7.111869812E0
8.788372410E-1,-1.366488266E1,3.952142334E1,8.066986084E0
9.288372410E-1,-1.282105827E1,3.785079193E1,7.535018921E0
9.788372410E-1,-1.287375259E1,3.676439667E1,6.987968445E0
1.028837241E0,-1.463973236E1,3.855773163E1,6.950706482E0
1.078837241E0,-1.340019608E1,3.876628876E1,7.099479675E0
1.128837241E0,-1.303320312E1,3.643458557E1,7.829338074E0
1.178837241E0,-1.268884850E1,3.722563171E1,8.102874756E0
1.228837241E0,-1.456288910E1,3.684973145E1,6.691795349E0
1.278837241E0,-1.283725929E1,3.754190826E1,7.258842468E0
1.328837241E0,-1.471405792E1,3.700448608E1,6.269111633E0
1.378837241E0,-1.330999756E1,3.704059601E1,8.239166260E0
1.428837241E0,-1.419405365E1,3.843421936E1,5.977470398E0
1.478837241E0,-1.448188782E1,3.839413452E1,8.072700500E0
1.528837241E0,-1.414955139E1,3.920110321E1,7.087493896E0
1.578837241E0,-1.354602432E1,3.891396332E1,7.236236572E0
1.628837241E0,-1.285087776E1,3.706443024E1,7.963455200E0
1.678837241E0,-1.372158432E1,3.844035339E1,7.100349426E0
1.728837241E0,-1.355955505E1,3.860154724E1,7.239776611E0
1.778837241E0,-1.276524353E1,3.975893402E1,4.856437683E0
1.828837241E0,-1.342707253E1,3.847158051E1,5.704421997E0
1.878837241E0,-1.393506241E1,3.702592468E1,7.254806519E0
1.928837241E0,-1.393506241E1,3.702592468E1,7.254806519E0
1.978837241E0,-1.346784592E1,3.720419312E1,7.117179871E0
2.028837241E0,-1.346784592E1,3.720419312E1,7.117179871E0
2.078837241E0,-1.360023499E1,3.749922943E1,7.951469421E0
2.128837241E0,-1.373253250E1,3.795932770E1,8.084686279E0
2.178837241E0,-1.329237366E1,3.751276398E1,7.954139709E0
2.228837241E0,-1.335984230E1,3.628078461E1,6.569694519E0
2.278837241E0,-1.378356171E1,4.045899963E1,7.495582581E0
2.328837241E0,-1.342734528E1,3.797639465E1,7.807632446E0
2.378837241E0,-1.269392014E1,3.772789764E1,5.440223694E0
